SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,49.25,600.00,600.00,582.00,589.00,591.34,313.00,602.70,"185,089.80",18,-13.70,18.00,-2.27,3.09,-0.40,710.29,751.87,991.00,547.50
2,ADBL,Agricultural Development Bank Limited,44.72,248.00,255.90,245.90,247.50,248.35,"16,060.00",246.00,"3,988,445.70",138,1.50,10.00,0.61,4.07,-0.34,299.49,307.29,389.00,230.00
3,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,45.66,"1,326.70","1,430.70","1,326.70","1,430.70","1,422.74","1,948.00","1,300.70","2,771,502.10",77,130.00,104.00,9.99,7.84,0.56,0.00,0.00,"2,705.00",256.80
4,AHL,Asian Hydropower Limited,38.82,425.40,430.00,400.00,400.00,409.43,"19,740.00",434.00,"8,082,087.00",322,-34.00,30.00,-7.83,7.50,-2.36,0.00,0.00,480.90,298.80
5,AHPC,Arun Valley Hydropower Development Company Limited,48.58,300.00,303.80,297.00,300.00,300.10,"65,738.00",300.00,"19,727,789.20",176,0.00,6.80,0.00,2.29,-0.03,291.95,311.31,457.00,250.00
6,AIL,Ajod Insurance Limited,49.71,425.00,434.50,423.70,425.30,427.43,"3,126.00",430.60,"1,336,146.60",61,-5.30,10.80,-1.23,2.55,-0.50,461.23,521.01,667.00,344.00
7,AKJCL,Ankhukhola Hydropower Company Limited,50.87,227.00,227.00,222.10,224.30,223.87,"14,033.00",225.00,"3,141,589.40",99,-0.70,4.90,-0.31,2.21,0.19,203.93,205.46,266.00,159.80
8,AKPL,Arun Kabeli Power Limited,48.04,407.90,409.30,395.10,395.10,400.43,"31,317.00",403.90,"12,540,321.80",177,-8.80,14.20,-2.18,3.59,-1.35,385.73,408.61,519.00,325.00
9,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,52.39,735.00,740.00,710.00,730.00,722.92,"2,454.00",749.70,"1,774,057.80",28,-19.70,30.00,-2.63,4.23,0.97,906.99,"1,000.87","1,450.00",657.00
10,ALICL,Asian Life Insurance Company Limited,51.48,610.00,615.10,600.00,613.00,609.05,"35,109.00",608.00,"21,383,026.40",128,5.00,15.10,0.82,2.52,0.64,576.46,577.74,851.00,428.00
11,API,Api Power Company Limited,48.66,258.00,261.00,252.10,256.50,257.11,"50,157.00",257.00,"12,895,713.70",273,-0.50,8.90,-0.19,3.53,-0.24,242.49,246.15,327.00,200.00
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,47.17,608.00,610.00,594.90,600.00,601.49,"2,521.00",619.90,"1,516,360.20",85,-19.90,15.10,-3.21,2.54,-0.25,682.86,0.00,963.00,316.00
13,BARUN,Barun Hydropower Company Limited,48.43,263.00,264.00,257.80,257.80,260.46,"11,269.00",260.90,"2,935,126.90",64,-3.10,6.20,-1.19,2.40,-1.03,238.95,255.78,541.60,190.30
14,BBC,Bishal Bazar Company Limited,51.03,"3,200.00","3,225.00","3,200.00","3,225.00","3,210.00",60.00,"3,233.00","192,600.00",4,-8.00,25.00,-0.25,0.78,0.47,"3,294.30","3,402.28","4,355.40","3,050.00"
15,BFC,Best Finance Company Limited,49.74,323.10,328.40,319.00,319.30,322.71,"5,799.00",323.00,"1,871,419.80",45,-3.70,9.40,-1.15,2.95,-1.07,329.03,348.45,475.00,292.50
16,BHDC,Bindhyabasini Hydropower Development Company Limited,47.01,437.00,437.00,420.00,420.00,424.85,"2,343.00",437.00,"995,434.00",102,-17.00,17.00,-3.89,4.05,-1.16,383.88,0.00,520.00,310.00
17,BHL,Balephi Hydropower Limited,40.85,316.00,318.90,311.00,313.40,313.78,"3,270.00",321.00,"1,026,070.00",107,-7.60,7.90,-2.37,2.54,-0.12,293.79,296.40,397.00,104.70
18,BHPL,Barahi Hydropower Public Limited,48.97,500.00,505.00,490.00,503.00,496.41,"1,560.00",509.00,"774,402.00",65,-6.00,15.00,-1.18,3.06,1.31,0.00,0.00,677.20,194.30
19,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,50.41,415.00,419.30,408.10,418.00,415.01,"1,360.00",423.00,"564,410.00",37,-5.00,11.20,-1.18,2.74,0.72,392.67,395.00,532.50,306.00
20,BNT,Bottlers Nepal (Terai) Limited,44.64,"12,295.00","12,540.90","12,295.00","12,400.00","12,411.97",30.00,"12,054.00","372,359.00",3,346.00,245.90,2.87,2.00,-0.10,"12,718.74","12,922.60","15,371.30","11,396.00"
21,BOKD86,8.5% BOK Debenture 2086,41.89,775.00,775.00,775.00,775.00,775.00,25.00,775.00,"19,375.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,980.00,738.50
22,BPCL,Butwal Power Company Limited,51.38,315.00,322.50,314.00,320.00,318.10,"7,249.00",320.00,"2,305,873.60",92,0.00,8.50,0.00,2.71,0.60,314.49,317.43,393.00,288.00
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,48.06,825.00,830.00,810.00,824.10,823.36,"4,355.00",822.00,"3,585,732.30",88,2.10,20.00,0.26,2.47,0.09,"1,043.35","1,046.04","1,303.00",727.00
24,CBLD88,10.25% Civil Bank Debenture 2088,25.57,834.20,834.20,834.20,834.20,834.20,25.00,834.00,"20,855.00",1,0.20,0.00,0.02,0.00,0.00,0.00,0.00,"1,000.00",813.00
25,CCBD88,10.50% Century Debenture 2088,47.88,897.20,897.20,897.20,897.20,897.20,35.00,879.70,"31,402.00",2,17.50,0.00,1.99,0.00,0.00,0.00,0.00,"1,000.00",816.00
26,CFCL,Central Finance Limited,50.66,324.00,325.00,315.00,317.00,319.96,"6,314.00",319.00,"2,020,234.80",44,-2.00,10.00,-0.63,3.17,-0.93,319.61,326.12,408.00,237.00
27,CGH,Chandragiri Hills Limited,46.50,"1,173.00","1,211.00","1,146.00","1,174.00","1,183.72","6,276.00","1,151.10","7,429,047.60",118,22.90,65.00,1.99,5.67,-0.83,"1,120.40","1,097.47","1,487.00",900.20
28,CHCL,Chilime Hydro power Company Limited,51.98,485.00,494.00,481.70,488.00,487.92,"22,297.00",490.00,"10,879,194.70",145,-2.00,12.30,-0.41,2.55,0.02,420.48,412.75,504.10,347.90
29,CHDC,CEDB Hydropower Development Company Limited,51.00,721.00,734.00,715.00,722.00,720.69,"1,205.00",720.00,"868,427.00",63,2.00,19.00,0.28,2.66,0.18,694.59,709.49,869.00,590.00
30,CHL,Chhyangdi Hydropower Company Limited,49.55,313.00,315.00,309.00,314.00,310.71,"9,466.00",315.00,"2,941,184.90",58,-1.00,6.00,-0.32,1.94,1.05,268.69,265.32,384.50,193.10
31,CIT,Citizen Investment Trust,48.67,"2,089.90","2,089.90","2,059.00","2,065.00","2,072.99","3,655.00","2,089.90","7,576,775.50",101,-24.90,30.90,-1.19,1.50,-0.39,"1,973.78","2,088.68","3,072.00","1,780.00"
32,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,44.99,615.00,619.00,606.70,618.00,614.26,699.00,625.00,"429,365.60",19,-7.00,12.30,-1.12,2.03,0.61,763.24,800.27,"1,018.00",551.00
33,CMF1,Citizens Mutual Fund-1,52.46,8.36,8.36,8.20,8.20,8.31,"3,000.00",8.53,"24,920.00",4,-0.33,0.16,-3.87,1.95,-1.30,7.94,8.08,9.69,6.75
34,CMF2,Citizens Mutual Fund - 2,44.54,8.30,8.45,7.62,8.45,7.99,"2,250.00",8.40,"17,981.00",12,0.05,0.83,0.60,10.89,5.43,8.09,8.36,10.36,7.03
35,CORBL,Corporate Development Bank Limited,48.53,315.10,319.00,300.00,301.00,303.32,"5,541.00",309.00,"1,680,685.80",41,-8.00,19.00,-2.59,6.33,-0.77,296.76,301.28,524.00,211.30
36,CZBIL,Citizens Bank International Limited,49.72,184.00,184.00,180.00,180.80,180.87,"13,340.00",182.00,"2,412,863.40",108,-1.20,4.00,-0.66,2.22,-0.04,186.77,191.37,263.30,169.00
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,48.50,690.00,690.00,668.00,685.00,681.05,"3,509.00",685.00,"2,389,820.30",69,0.00,22.00,0.00,3.29,0.58,891.57,923.31,"1,178.00",630.00
38,DHPL,Dibyashwari Hydropower Company Limited,49.92,222.20,222.20,216.20,216.50,218.58,"5,607.00",218.00,"1,225,569.40",37,-1.50,6.00,-0.69,2.78,-0.96,205.47,206.85,279.00,160.10
39,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,47.62,750.00,816.00,750.00,805.00,804.16,"2,526.00",762.00,"2,031,317.90",66,43.00,66.00,5.64,8.80,0.10,0.00,0.00,"1,662.00",177.70
40,DORDI,Dordi Khola Hydropower Company Limited,47.47,296.00,302.00,295.10,296.00,296.81,"2,707.00",302.00,"803,461.00",119,-6.00,6.90,-1.99,2.34,-0.27,276.56,0.00,408.00,217.00
41,EBL,Everest Bank Limited,48.10,512.00,514.00,501.00,514.00,510.08,"21,569.00",508.00,"11,001,934.00",147,6.00,13.00,1.18,2.59,0.76,500.51,495.60,558.90,411.00
42,EBLD86,8.5% Everest Bank Debenture,43.71,800.00,800.00,800.00,800.00,800.00,10.00,792.00,"8,000.00",1,8.00,0.00,1.01,0.00,0.00,0.00,0.00,"1,000.00",725.00
43,EDBL,Excel Development Bank Limited,47.79,297.00,299.00,291.50,293.00,295.87,"4,327.00",293.20,"1,280,239.40",56,-0.20,7.50,-0.07,2.57,-0.98,322.16,330.24,444.70,273.40
44,EHPL,Eastern Hydropower Limited,44.72,406.10,416.00,400.20,415.00,408.71,"2,850.00",413.60,"1,164,837.00",67,1.40,15.80,0.34,3.95,1.51,0.00,0.00,508.00,216.00
45,ENL,Emerging Nepal Limited,44.82,650.00,662.50,640.00,662.50,644.64,610.00,662.90,"393,232.50",25,-0.40,22.50,-0.06,3.52,2.70,634.93,658.17,990.00,535.00
46,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,47.82,540.00,540.00,527.90,537.00,531.09,"15,648.00",539.10,"8,310,568.20",87,-2.10,12.10,-0.39,2.29,1.10,634.35,654.20,780.00,503.00
47,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,44.45,"1,280.00","1,280.00","1,230.00","1,262.00","1,252.57","1,504.00","1,285.00","1,883,869.00",60,-23.00,50.00,-1.79,4.07,0.75,"2,025.49","2,215.41","2,950.00","1,130.10"
48,GBBD85,8.75% Garima Debenture 2085,50.78,822.30,822.30,806.00,806.00,814.15,50.00,839.00,"40,707.50",3,-33.00,16.30,-3.93,2.02,-1.01,0.00,0.00,"1,000.00",722.50
49,GBBL,Garima Bikas Bank Limited,51.73,360.00,367.00,360.00,363.00,362.34,"6,279.00",365.00,"2,275,126.20",71,-2.00,7.00,-0.55,1.94,0.18,370.39,376.87,442.00,318.00
50,GBIME,Global IME Bank Limited,47.37,190.00,192.60,188.90,189.90,190.09,"72,933.00",189.00,"13,863,916.10",443,0.90,3.70,0.48,1.96,-0.10,250.59,276.15,316.00,178.10
51,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,46.65,475.00,481.90,460.60,460.60,467.44,"1,945.00",481.90,"909,175.90",37,-21.30,21.30,-4.42,4.62,-1.49,578.73,632.60,900.00,435.60
52,GFCL,Goodwill Finance Company Limited,52.22,470.00,470.00,453.00,462.90,461.40,"2,200.00",467.00,"1,015,079.20",19,-4.10,17.00,-0.88,3.75,0.32,464.24,480.79,634.00,358.00
53,GHL,Ghalemdi Hydro Limited,48.76,272.30,272.30,266.00,269.00,269.10,"28,947.00",267.00,"7,789,671.90",122,2.00,6.30,0.75,2.37,-0.04,234.92,228.58,309.00,164.20
54,GIBF1,Global IME Balance Fund-I,49.05,8.33,8.50,8.23,8.23,8.36,"7,900.00",8.34,"66,037.00",18,-0.11,0.27,-1.32,3.28,-1.57,0.00,0.00,10.00,7.50
55,GILB,Global IME Laghubitta Bittiya Sanstha Limited,33.52,805.00,834.70,805.00,828.90,821.87,"1,208.00",810.00,"992,815.60",58,18.90,29.70,2.33,3.69,0.85,"1,064.61","1,144.39","1,505.40",665.10
56,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,30.56,709.00,709.00,709.00,709.00,709.00,10.00,719.90,"7,090.00",1,-10.90,0.00,-1.51,0.00,0.00,800.53,871.84,"1,260.00",664.00
57,GLH,Greenlife Hydropower Limited,49.28,283.00,287.60,277.00,283.00,280.77,"6,750.00",286.00,"1,895,213.80",89,-3.00,10.60,-1.05,3.83,0.79,275.68,285.82,425.00,219.00
