SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
121,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,30.58,"1,140.00","1,140.00","1,125.10","1,125.10","1,136.28",180.00,"1,159.40","204,531.00",6,-34.30,14.90,-2.96,1.32,-0.99,"1,110.22","1,116.67","1,590.00",960.00
122,NABBC,Narayani Development Bank Limited,37.90,422.00,423.00,420.00,423.00,420.21,"1,692.00",425.00,"710,990.00",13,-2.00,3.00,-0.47,0.71,0.66,404.11,400.72,565.00,317.70
123,NABIL,Nabil Bank Limited,36.95,675.00,676.00,669.00,670.20,671.60,"57,195.00",674.50,"38,412,329.30",881,-4.30,7.00,-0.64,1.05,-0.21,782.44,801.45,"1,100.50",669.00
124,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,31.41,700.10,709.90,691.20,699.00,696.82,"2,870.00",710.00,"1,999,870.40",60,-11.00,18.70,-1.55,2.71,0.31,777.95,724.73,"1,011.00",638.00
125,NBF2,Nabil Balanced Fund - 2,31.39,8.20,8.36,8.20,8.21,8.21,"3,241.00",8.26,"26,614.05",8,-0.05,0.16,-0.61,1.95,-0.02,8.82,9.31,11.35,7.45
126,NBF3,Nabil Balanced Fund III,43.86,7.40,7.59,7.31,7.38,7.38,"43,710.00",7.53,"322,649.90",47,-0.15,0.28,-1.99,3.83,-0.02,7.74,7.98,9.79,7.08
127,NBL,Nepal Bank Limited,33.75,276.90,276.90,268.00,268.10,270.55,"58,829.00",272.00,"15,916,417.10",332,-3.90,8.90,-1.43,3.32,-0.92,277.62,282.02,356.90,259.10
128,NBLD87,8.5% Nepal Bank Debenture 2087,49.44,745.00,746.00,745.00,745.50,745.40,50.00,745.00,"37,270.00",3,0.50,1.00,0.07,0.13,0.01,0.00,0.00,"1,020.00",711.00
129,NEF,Nabil Equity Fund,36.74,8.75,8.92,8.75,8.76,8.76,"17,519.00",8.81,"153,441.75",10,-0.05,0.17,-0.57,1.94,0.02,8.77,9.15,11.25,7.75
130,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,31.59,"3,375.00","3,389.00","3,285.00","3,285.00","3,317.31","2,472.00","3,325.00","8,200,401.80",152,-40.00,104.00,-1.20,3.17,-0.98,"3,177.02","2,905.59","3,759.00",747.70
131,NFS,Nepal Finance Limited,29.58,302.00,311.10,299.30,300.00,302.43,"36,783.00",305.00,"11,124,193.50",207,-5.00,11.80,-1.64,3.94,-0.81,279.67,284.51,719.00,213.30
