SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,38.06,701.00,702.00,692.00,702.00,699.16,554.00,701.00,"387,337.40",19,1.00,10.00,0.14,1.45,0.40,785.84,828.15,"1,566.00",675.00
2,ADBL,Agricultural Development Bank Limited,38.07,310.00,310.00,302.00,306.90,305.91,"15,590.00",307.70,"4,769,139.00",145,-0.80,8.00,-0.26,2.65,0.32,319.77,331.16,510.00,298.00
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,26.19,915.60,915.60,915.00,915.00,915.40,93.00,915.50,"85,131.80",4,-0.50,0.60,-0.05,0.07,-0.04,"1,009.32","1,030.99","1,091.00",909.60
4,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,33.74,428.10,454.20,428.10,454.20,441.05,40.00,419.80,"17,642.00",4,34.40,26.10,8.19,6.10,2.90,-,-,454.20,256.80
5,AHPC,Arun Valley Hydropower Development Company Limited,33.24,254.00,255.00,250.00,250.10,251.01,"33,325.00",253.80,"8,364,880.50",149,-3.70,5.00,-1.46,2.00,-0.36,317.66,345.60,628.30,250.00
6,AIL,Ajod Insurance Limited,43.87,362.50,362.50,350.10,351.90,352.43,"1,505.00",360.00,"530,414.50",50,-8.10,12.40,-2.25,3.54,-0.15,563.86,613.24,806.00,344.00
7,AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,37.87,"1,690.80","1,790.00","1,492.00","1,530.00","1,528.14","20,110.00","1,657.70","30,730,877.20",677,-127.70,298.00,-7.70,19.97,0.12,-,-,"1,790.00",391.50
8,AKJCL,Ankhukhola Hydropower Company Limited,32.55,159.80,164.90,159.80,163.90,163.09,"8,149.00",163.00,"1,329,049.10",75,0.90,5.10,0.55,3.19,0.49,193.07,205.02,350.00,159.80
9,AKPL,Arun Kabeli Power Limited,29.10,331.00,331.00,325.00,327.50,327.16,"22,264.00",332.00,"7,283,965.80",141,-4.50,6.00,-1.36,1.85,0.10,415.43,421.93,624.00,325.00
10,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,29.32,923.30,941.70,892.10,900.00,901.83,458.00,905.20,"413,037.10",29,-5.20,49.60,-0.57,5.56,-0.20,"1,086.35","1,155.35","1,750.00",874.30
11,ALICL,Asian Life Insurance Company Limited,31.52,504.00,507.00,501.00,505.00,502.95,"13,523.00",504.00,"6,801,434.30",83,1.00,6.00,0.20,1.20,0.41,538.15,582.65,"1,374.00",428.00
12,API,Api Power Company Limited,35.71,203.50,206.00,201.70,202.90,202.82,"42,036.00",203.50,"8,525,878.70",216,-0.60,4.30,-0.29,2.13,0.04,236.11,253.67,575.00,200.00
13,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,32.29,662.00,675.00,662.00,667.10,669.21,"1,460.00",675.20,"977,050.60",83,-8.10,13.00,-1.20,1.96,-0.32,-,-,963.00,316.00
14,BARUN,Barun Hydropower Company Limited,37.17,191.00,194.70,190.30,192.00,191.56,"11,157.00",192.10,"2,137,210.90",82,-0.10,4.40,-0.05,2.31,0.23,270.17,326.05,595.00,190.30
15,BBC,Bishal Bazar Company Limited,29.38,"3,083.00","3,130.00","3,083.00","3,090.00","3,100.09",347.00,"3,126.00","1,075,732.00",12,-36.00,47.00,-1.15,1.52,-0.33,"3,464.36","3,589.58","5,763.00","3,083.00"
16,BFC,Best Finance Company Limited,35.59,293.00,294.00,292.50,294.00,293.08,"2,054.00",293.10,"601,990.50",25,0.90,1.50,0.31,0.51,0.31,355.77,366.40,577.00,292.50
17,BHDC,Bindhyabasini Hydropower Development Company Limited,26.41,340.00,342.00,333.90,336.10,339.48,"2,870.00",340.70,"974,315.10",72,-4.60,8.10,-1.35,2.43,-1.01,-,-,520.00,310.00
18,BHL,Balephi Hydropower Limited,48.46,241.10,241.10,231.60,232.50,233.21,"5,891.00",246.00,"1,373,839.60",77,-13.50,9.50,-5.49,4.10,-0.31,273.73,-,397.00,104.70
19,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,42.53,323.50,327.30,313.00,327.30,317.98,"1,710.00",329.50,"543,748.00",45,-2.20,14.30,-0.67,4.57,2.85,379.13,405.52,744.00,246.70
20,BNT,Bottlers Nepal (Terai) Limited,23.39,"12,400.00","12,900.00","12,400.00","12,900.00","12,485.45","1,300.00","12,502.00","16,231,085.00",10,398.00,500.00,3.18,4.03,3.21,"12,875.69","13,190.96","17,670.00","11,396.00"
21,BOKL,Bank of Kathmandu Limited,31.57,198.00,200.00,196.20,197.00,197.09,"9,710.00",199.00,"1,913,764.60",96,-2.00,3.80,-1.01,1.94,-0.05,257.67,275.92,330.00,195.20
22,BPCL,Butwal Power Company Limited,41.19,300.10,303.00,300.00,300.80,301.13,"5,011.00",302.20,"1,508,958.50",53,-1.40,3.00,-0.46,1.00,-0.11,314.67,328.31,498.00,288.00
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,25.88,"1,088.00","1,092.00","1,077.00","1,078.90","1,080.31","4,975.00","1,087.00","5,374,530.40",141,-8.10,15.00,-0.75,1.39,-0.13,"1,052.44","1,049.45","1,458.00",882.00
24,CBL,Civil Bank Limited,43.19,219.90,223.20,217.20,222.90,221.91,"97,606.00",218.90,"21,659,498.80",418,4.00,6.00,1.83,2.76,0.45,217.72,229.49,285.40,194.00
25,CCBL,Century Commercial Bank Limited,24.96,179.50,179.70,176.60,178.50,178.06,"16,036.00",177.20,"2,855,450.30",90,1.30,3.10,0.73,1.76,0.24,201.77,215.08,280.00,176.00
26,CGH,Chandragiri Hills Limited,39.71,980.10,990.00,980.00,990.00,982.21,999.00,999.00,"981,228.00",29,-9.00,10.00,-0.90,1.02,0.79,"1,026.55","1,077.25","1,565.00",900.20
27,CHCL,Chilime Hydro power Company Limited,23.94,353.10,354.90,351.10,352.00,352.27,"4,888.00",352.30,"1,721,895.50",50,-0.30,3.80,-0.09,1.08,-0.08,388.68,401.10,566.90,347.90
28,CHDC,CEDB Hydropower Development Company Limited,23.80,640.00,640.00,625.00,630.00,630.58,"7,110.00",630.00,"4,483,426.40",115,0.00,15.00,0.00,2.40,-0.09,693.56,709.50,"1,130.00",590.00
29,CHL,Chhyangdi Hydropower Company Limited,38.24,199.00,200.00,199.00,200.00,199.09,"4,596.00",202.50,"915,011.90",31,-2.50,1.00,-1.23,0.50,0.46,237.78,265.13,550.80,193.10
30,CIT,Citizen Investment Trust,37.11,"1,830.00","1,840.00","1,829.60","1,835.00","1,832.09","3,481.00","1,836.00","6,377,510.40",120,-1.00,10.40,-0.05,0.57,0.16,"2,151.02","2,324.58","3,646.00","1,780.00"
31,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,42.51,755.10,757.10,731.90,755.80,743.38,708.00,762.00,"526,315.60",21,-6.20,25.20,-0.81,3.44,1.64,820.68,817.88,"1,233.00",662.50
32,CMF1,Citizens Mutual Fund-1,30.80,7.05,7.20,7.02,7.20,7.12,"10,487.00",7.15,"74,708.40",11,0.05,0.18,0.70,2.56,1.06,8.12,8.46,10.49,6.75
33,CMF2,Citizens Mutual Fund - 2,37.60,7.50,7.60,7.49,7.49,7.58,"6,100.00",7.49,"46,240.00",4,0.00,0.11,0.00,1.47,-1.21,8.59,9.03,10.89,7.24
34,CORBL,Corporate Development Bank Limited,33.41,263.00,263.00,258.00,258.00,260.91,"1,963.00",262.00,"512,169.00",22,-4.00,5.00,-1.53,1.94,-1.13,293.75,327.89,994.00,211.30
35,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,34.14,"2,680.00","2,680.00","2,518.00","2,593.00","2,564.40","5,725.00","2,648.00","14,681,211.00",341,-55.00,162.00,-2.08,6.43,1.10,-,-,"2,734.80",382.20
36,CZBIL,Citizens Bank International Limited,41.72,180.00,180.00,175.00,176.00,175.61,"35,292.00",178.00,"6,197,562.00",141,-2.00,5.00,-1.12,2.86,0.22,195.02,209.53,323.30,175.00
37,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,29.12,"1,003.00","1,003.00",963.40,967.00,965.64,"4,131.00",983.60,"3,989,074.30",67,-16.60,39.60,-1.69,4.11,0.14,971.38,989.68,"1,407.00",861.00
38,DHPL,Dibyashwari Hydropower Company Limited,41.58,169.00,170.00,166.10,169.00,168.29,"2,185.00",171.80,"367,708.40",23,-2.80,3.90,-1.63,2.35,0.42,195.04,209.29,381.40,160.10
39,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,36.89,662.40,714.40,662.40,714.40,688.86,50.00,649.50,"34,443.00",5,64.90,52.00,9.99,7.85,3.58,-,-,714.40,177.70
40,DORDI,Dordi Khola Hydropower Company Limited,35.17,225.00,225.00,217.00,223.00,219.02,"2,605.00",222.90,"570,550.00",90,0.10,8.00,0.04,3.69,1.78,-,-,408.00,217.00
41,EBL,Everest Bank Limited,38.17,435.00,437.00,427.20,435.90,428.82,"59,696.00",435.00,"25,599,106.70",65,0.90,9.80,0.21,2.29,1.62,484.88,485.15,640.00,411.00
42,EDBL,Excel Development Bank Limited,37.13,294.00,302.00,294.00,297.50,299.51,"15,227.00",300.00,"4,560,710.80",35,-2.50,8.00,-0.83,2.72,-0.68,331.54,350.41,615.00,291.20
43,EHPL,Eastern Hydropower Limited,39.37,303.80,303.80,276.20,286.00,284.26,"9,063.00",297.90,"2,576,286.40",295,-11.90,27.60,-3.99,9.99,0.61,-,-,303.80,216.00
44,ENL,Emerging Nepal Limited,39.02,556.20,561.00,545.10,561.00,550.71,"1,600.00",567.10,"881,130.00",31,-6.10,15.90,-1.08,2.92,1.83,650.63,703.73,"1,481.90",287.10
45,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,33.39,705.00,706.00,695.40,700.00,701.38,"8,250.00",707.00,"5,786,344.60",90,-7.00,10.60,-0.99,1.52,-0.20,677.18,677.15,"1,020.00",559.00
46,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,28.69,"2,302.90","2,302.90","2,260.00","2,261.00","2,266.64","3,289.00","2,280.50","7,454,992.90",128,-19.50,42.90,-0.86,1.90,-0.25,"2,572.75","2,479.93","2,950.00","2,000.00"
47,GBBD85,8.75% Garima Debenture 2085,39.45,806.00,838.00,790.00,838.00,816.67,60.00,822.00,"49,000.00",4,16.00,48.00,1.95,6.08,2.55,-,-,"1,000.00",722.50
48,GBBL,Garima Bikas Bank Limited,33.76,381.00,381.00,373.00,374.00,374.95,"47,797.00",376.10,"17,921,498.70",370,-2.10,8.00,-0.56,2.14,-0.25,385.12,388.47,625.00,318.00
49,GBILD86/87,8.5% Global IME Bank Ltd. Debenture 2086/87,37.13,741.00,743.00,741.00,743.00,742.00,30.00,740.00,"22,260.00",2,3.00,2.00,0.41,0.27,0.13,-,-,"1,000.00",735.00
50,GBIME,Global IME Bank Limited,35.79,201.40,201.40,198.00,198.50,198.46,"33,057.00",198.50,"6,560,404.30",271,0.00,3.40,0.00,1.72,0.02,304.59,322.52,375.00,197.10
51,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,24.87,583.00,585.00,572.00,581.00,574.08,"2,387.00",583.00,"1,370,321.50",40,-2.00,13.00,-0.34,2.27,1.19,683.67,721.47,"1,139.00",566.00
52,GFCL,Goodwill Finance Company Limited,25.14,422.00,425.00,419.00,419.00,421.13,"7,177.00",423.20,"3,022,431.90",46,-4.20,6.00,-0.99,1.43,-0.51,479.40,471.97,763.00,358.00
53,GHL,Ghalemdi Hydro Limited,44.96,203.00,210.00,193.40,209.90,202.37,"84,321.00",203.00,"17,063,711.30",297,6.90,16.60,3.40,8.58,3.59,203.35,214.08,397.80,164.20
54,GIBF1,Global IME Balance Fund-I,43.18,7.66,7.89,7.66,7.89,7.85,"16,525.00",7.77,"129,713.25",6,0.12,0.23,1.54,3.00,0.51,-,-,10.00,7.55
55,GILB,Global IME Laghubitta Bittiya Sanstha Limited,25.98,"1,115.00","1,120.00","1,108.40","1,119.00","1,111.69","1,956.00","1,117.40","2,174,471.10",38,1.60,11.60,0.14,1.05,0.65,"1,245.88","1,274.43","1,894.00","1,108.40"
56,GIMES1,Global IME Samunnat Scheme 1,45.08,8.50,8.56,8.45,8.53,8.50,"69,940.00",8.52,"594,197.43",26,0.01,0.11,0.12,1.30,0.40,9.07,9.64,12.64,8.08
57,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,27.87,738.00,767.00,738.00,767.00,751.34,146.00,739.10,"109,696.00",6,27.90,29.00,3.77,3.93,2.04,934.08,"1,001.10","1,509.60",738.00
58,GLH,Greenlife Hydropower Limited,33.04,227.00,234.00,222.50,234.00,225.06,"2,386.00",231.50,"537,003.50",57,2.50,11.50,1.08,5.17,3.82,279.34,313.82,527.30,219.00
59,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,39.86,775.00,806.50,775.00,775.20,779.63,140.00,790.70,"109,148.00",8,-15.50,31.50,-1.96,4.06,-0.57,905.02,948.99,"1,510.00",750.00
60,GMFIL,Guheswori Merchant Banking & Finance Limited,29.00,295.00,299.50,294.00,299.40,296.96,"1,780.00",297.00,"528,591.00",20,2.40,5.50,0.81,1.87,0.81,332.77,326.52,531.50,223.90
61,GRDBL,Green Development Bank Limited,39.40,227.10,229.00,221.60,224.10,222.34,"3,993.00",231.50,"887,784.30",31,-7.40,7.40,-3.20,3.34,0.79,245.86,250.87,425.00,182.00
62,GUFL,Gurkhas Finance Limited,30.98,495.00,496.90,490.00,490.00,492.00,"14,198.00",501.00,"6,985,371.00",124,-11.00,6.90,-2.20,1.41,-0.41,534.61,502.62,925.00,357.00
63,GVL,Green Ventures Limited,38.42,300.00,309.00,297.00,305.00,303.74,"5,600.00",306.00,"1,700,920.00",144,-1.00,12.00,-0.33,4.04,0.41,323.71,-,436.40,255.10
64,GWFD83,12% Goodwill Finance Limited Debenture 2083,26.34,"1,020.00","1,030.00","1,020.00","1,030.00","1,027.63",190.00,"1,000.00","195,250.00",3,30.00,10.00,3.00,0.98,0.23,"1,085.31",-,"1,173.00",989.80
65,HBL,Himalayan Bank Limited,45.66,326.00,330.00,326.00,329.90,328.53,"8,924.00",328.80,"2,931,839.10",78,1.10,4.00,0.33,1.23,0.41,322.39,362.74,505.00,290.00
