SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,43.50,565.00,584.90,564.10,580.00,568.90,"1,884.00",575.00,"1,071,808.30",37,5.00,20.80,0.87,3.69,1.91,714.40,757.72,"1,022.00",547.50
2,ADBL,Agricultural Development Bank Limited,35.02,234.00,235.00,230.00,232.10,232.74,"19,230.00",234.00,"4,475,674.00",151,-1.90,5.00,-0.81,2.17,-0.28,301.56,309.12,389.00,230.00
3,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,32.59,955.50,"1,009.10",955.50,980.00,977.50,283.00,975.00,"276,633.00",17,5.00,53.60,0.51,5.61,0.25,0.00,0.00,"2,705.00",256.80
4,AHL,Asian Hydropower Limited,32.27,385.10,406.00,382.70,398.90,389.10,"5,370.00",392.00,"2,089,464.10",280,6.90,23.30,1.76,6.09,2.46,0.00,0.00,480.90,298.80
5,AHPC,Arun Valley Hydropower Development Company Limited,30.79,279.50,282.70,274.40,276.10,277.76,"59,831.00",275.00,"16,618,408.10",209,1.10,8.30,0.40,3.02,-0.60,291.82,312.68,457.70,250.00
6,AIL,Ajod Insurance Limited,30.17,406.00,421.00,401.00,408.00,408.76,"3,817.00",405.00,"1,560,240.50",68,3.00,20.00,0.74,4.99,-0.19,464.47,527.00,686.40,344.00
7,AKJCL,Ankhukhola Hydropower Company Limited,34.60,213.30,216.00,211.00,213.00,213.78,"19,727.00",210.10,"4,217,316.10",115,2.90,5.00,1.38,2.37,-0.37,202.37,205.01,276.40,159.80
8,AKPL,Arun Kabeli Power Limited,33.23,381.00,388.90,376.00,386.90,385.31,"30,707.00",381.90,"11,831,788.20",143,5.00,12.90,1.31,3.43,0.41,385.53,410.15,519.00,325.00
9,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,41.27,660.00,719.10,660.00,679.00,691.81,691.00,661.00,"478,038.60",25,18.00,59.10,2.72,8.95,-1.89,914.98,"1,012.00","1,450.00",657.00
10,ALICL,Asian Life Insurance Company Limited,33.33,589.90,591.00,570.10,590.70,582.22,"4,969.00",581.10,"2,893,069.50",71,9.60,20.90,1.65,3.67,1.43,571.69,577.56,851.00,428.00
11,API,Api Power Company Limited,32.33,242.00,248.50,242.00,245.90,245.41,"58,572.00",245.00,"14,373,890.60",354,0.90,6.50,0.37,2.69,0.20,241.02,246.15,335.00,200.00
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,28.14,579.00,584.00,570.20,575.30,577.61,730.00,581.00,"421,652.00",62,-5.70,13.80,-0.98,2.42,-0.40,0.00,0.00,963.00,316.00
13,BARUN,Barun Hydropower Company Limited,33.02,254.00,254.80,249.00,252.00,251.21,"9,513.00",250.00,"2,389,754.20",49,2.00,5.80,0.80,2.33,0.31,237.57,260.02,541.60,190.30
14,BBC,Bishal Bazar Company Limited,36.89,"3,150.00","3,151.00","3,091.00","3,091.00","3,095.20",481.00,"3,090.00","1,488,791.00",5,1.00,60.00,0.03,1.94,-0.14,"3,299.40","3,414.44","4,382.00","3,050.00"
15,BFC,Best Finance Company Limited,30.75,312.00,314.00,305.00,309.00,309.74,"2,921.00",309.50,"904,743.00",21,-0.50,9.00,-0.16,2.95,-0.24,329.66,349.62,475.00,292.50
16,BHDC,Bindhyabasini Hydropower Development Company Limited,21.45,411.10,418.90,411.00,418.90,412.91,"2,121.00",418.90,"875,772.60",93,0.00,7.90,0.00,1.92,1.43,382.21,0.00,520.00,310.00
17,BHL,Balephi Hydropower Limited,30.96,317.60,318.00,300.10,307.00,308.09,"4,080.00",324.00,"1,257,006.00",81,-17.00,17.90,-5.25,5.96,-0.35,292.07,294.72,397.00,104.70
18,BHPL,Barahi Hydropower Public Limited,39.75,476.00,504.00,467.20,504.00,475.32,"1,610.00",476.00,"765,273.00",65,28.00,36.80,5.88,7.88,5.69,0.00,0.00,677.20,194.30
19,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,44.08,405.00,421.00,390.00,421.00,398.07,"2,695.00",405.00,"1,072,802.00",50,16.00,31.00,3.95,7.95,5.45,391.30,394.13,633.00,306.00
20,BNT,Bottlers Nepal (Terai) Limited,32.34,"11,950.00","12,189.00","11,912.00","11,990.00","11,982.36",220.00,"11,950.00","2,636,120.00",17,40.00,277.00,0.33,2.33,0.06,"12,743.37","12,937.58","15,371.30","11,396.00"
21,BOKD86,8.5% BOK Debenture 2086,39.68,760.00,760.00,760.00,760.00,760.00,25.00,760.00,"19,000.00",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,980.00,738.50
22,BPCL,Butwal Power Company Limited,34.10,312.00,312.00,306.30,306.30,307.98,"7,335.00",308.00,"2,259,038.50",84,-1.70,5.70,-0.55,1.86,-0.55,313.70,317.60,395.00,288.00
23,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,38.06,780.00,786.00,777.00,782.50,781.75,"3,791.00",778.00,"2,963,597.40",93,4.50,9.00,0.58,1.16,0.10,"1,048.47","1,050.29","1,303.00",727.00
24,CBLD88,10.25% Civil Bank Debenture 2088,26.08,839.10,839.10,839.10,839.10,839.10,25.00,846.00,"20,977.50",1,-6.90,0.00,-0.82,0.00,0.00,0.00,0.00,"1,000.00",813.00
25,CFCL,Central Finance Limited,36.59,300.00,304.90,287.00,295.30,297.27,"6,836.00",294.50,"2,032,139.80",66,0.80,17.90,0.27,6.24,-0.67,319.94,325.68,410.00,237.00
26,CGH,Chandragiri Hills Limited,40.82,"1,118.60","1,122.00","1,097.60","1,118.00","1,105.56","1,210.00","1,100.00","1,337,724.00",41,18.00,24.40,1.64,2.22,1.11,"1,114.08","1,095.09","1,487.00",900.20
27,CHCL,Chilime Hydro power Company Limited,29.50,462.00,464.90,459.20,462.60,461.09,"33,550.00",463.00,"15,469,435.40",207,-0.40,5.70,-0.09,1.24,0.33,416.26,411.08,504.10,347.90
28,CHDC,CEDB Hydropower Development Company Limited,29.09,692.90,710.00,681.20,710.00,704.45,830.00,707.00,"584,696.00",57,3.00,28.80,0.42,4.23,0.78,691.22,709.42,869.00,590.00
29,CHL,Chhyangdi Hydropower Company Limited,26.03,294.00,298.00,292.00,296.00,295.84,"4,090.00",290.10,"1,210,004.00",42,5.90,6.00,2.03,2.05,0.05,265.04,264.01,410.00,193.10
30,CIT,Citizen Investment Trust,29.84,"2,015.00","2,025.00","1,998.00","2,006.00","2,005.09","5,364.00","2,007.00","10,755,287.10",145,-1.00,27.00,-0.05,1.35,0.05,"1,965.71","2,100.10","3,080.00","1,780.00"
