S.N.,Date,High,Low,Close
1,12/29/2021,288,281,284
2,12/28/2021,290,282,283
3,12/27/2021,298.9,273.5,285
4,12/26/2021,285,276.5,277.5
5,12/23/2021,282.8,274,277.4
6,12/22/2021,279.5,269,278.5
7,12/21/2021,278,257.2,270
8,12/20/2021,262.9,256,257
9,12/16/2021,261.9,257.9,258
10,12/15/2021,274,260,262
11,12/14/2021,265.2,254.5,265.2
12,12/13/2021,260.9,251.2,254.5
13,12/12/2021,273,260,262
14,12/9/2021,269.9,262,268
15,12/8/2021,269,260.8,268
16,12/7/2021,278,267.5,269
17,12/6/2021,275,261,273
18,12/5/2021,280,268,270
19,12/2/2021,286,275.1,275.5
20,12/1/2021,289,283,284
21,11/30/2021,292,282,285
22,11/29/2021,327,321.1,322
23,11/28/2021,334,323,323
24,11/25/2021,332,325,330
25,11/24/2021,330,322,328
26,11/23/2021,335,327,328.5
27,11/22/2021,332,327,331
28,11/21/2021,333,327,327.6
29,11/18/2021,336,329.3,329.5
30,11/17/2021,341,334.2,336
31,11/16/2021,342,335.6,339.7
32,11/15/2021,340,335,336
33,11/14/2021,339.8,332,335
34,11/11/2021,345,335.1,337.5
35,11/9/2021,342.1,332.1,334.1
36,11/8/2021,349,340,340.1
37,11/3/2021,354.4,345,346.8
38,11/2/2021,350,344,347.5
39,11/1/2021,351,337.6,344
40,10/31/2021,333.5,328,331
41,10/28/2021,330,325,330
42,10/27/2021,337.5,323.4,328.1
43,10/26/2021,334.9,323,331
44,10/25/2021,325,316,322
45,10/24/2021,315,305,313
46,10/21/2021,315,307,309
47,10/20/2021,317,305,312
48,10/19/2021,317,300.2,301.6
49,10/18/2021,329.6,314,320
50,10/17/2021,334.9,324,329.7
51,10/11/2021,335,325,329.5
52,10/10/2021,340,327.1,333.9
53,10/6/2021,335,328,333.7
54,10/5/2021,332,320.1,329.9
55,10/4/2021,326,317,324
56,10/3/2021,335,324,324.4
57,9/30/2021,345,327.5,334.9
58,9/29/2021,350,330,342.8
59,9/28/2021,356.8,328.5,356.8
60,9/27/2021,369,336.3,349.9
61,9/26/2021,381.4,358,364
62,9/23/2021,371.2,351,360
63,9/22/2021,348,336,347.8
64,9/21/2021,339,318.5,334.5
65,9/20/2021,344,324.1,325
66,9/16/2021,345,336,337.5
67,9/15/2021,356,347.4,348
68,9/14/2021,365,351,354.4
69,9/13/2021,358,350,351.3
70,9/12/2021,350,342.1,349.2
71,9/9/2021,349.5,341.6,343
72,9/8/2021,355,343,344
73,9/7/2021,367,354,354
74,9/6/2021,365,341,364
75,9/5/2021,357,340,345
76,9/2/2021,364,355,355.1
77,9/1/2021,365,355.9,360
78,8/31/2021,365,355,356
79,8/29/2021,374,358.3,362
80,8/26/2021,374,365,368
81,8/25/2021,372,365,367.5
82,8/24/2021,380,371.1,372
83,8/19/2021,387.5,376,377
84,8/18/2021,389,374.2,382.9
85,8/17/2021,388,378,380
86,8/16/2021,395,383,384.2
87,8/15/2021,396,387,389.5
88,8/12/2021,394,383,391.5
89,8/11/2021,398,387,389
90,8/10/2021,399,378.9,392
91,8/9/2021,385,380,381
