CBLD88,0.0,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00",25.00,0.00,"25,000.00",1,"1,000.00",0.0,0.0,0.0,0.0,-,-,"1,000.00","1,000.00",07_18_2022
CBLD88,36.89,980.10,980.10,922.50,922.50,956.84,50.00,"1,000.00","47,842.00",5,-77.5,57.6,-7.75,6.24,-3.72,-,-,"1,000.00",922.50,07_19_2022
CBLD88,30.68,905.00,905.00,874.60,890.00,883.44,235.00,922.50,"207,609.50",16,-32.5,30.4,-3.52,3.48,0.74,-,-,"1,000.00",874.60,07_20_2022
CBLD88,34.79,873.00,880.20,873.00,880.20,878.35,100.00,890.00,"87,835.00",4,-9.8,7.2,-1.1,0.82,0.21,-,-,"1,000.00",873.00,07_21_2022
CBLD88,29.22,870.00,897.60,865.40,897.60,879.07,200.00,880.20,"175,814.50",9,17.4,32.2,1.98,3.72,2.06,-,-,"1,000.00",865.40,07_24_2022
CBLD88,33.82,879.90,885.00,877.00,878.00,879.98,125.00,897.60,"109,997.50",5,-19.6,8.0,-2.18,0.91,-0.23,-,-,"1,000.00",865.40,07_25_2022
CBLD88,41.43,895.50,899.90,882.00,882.00,892.47,75.00,878.00,"66,935.00",3,4.0,17.9,0.46,2.03,-1.19,-,-,"1,000.00",865.40,07_26_2022
CBLD88,42.15,869.60,878.00,869.60,878.00,873.80,50.00,882.00,"43,690.00",2,-4.0,8.4,-0.45,0.97,0.48,-,-,"1,000.00",865.40,07_27_2022
CBLD88,40.61,875.00,892.50,875.00,892.50,881.56,40.00,878.00,"35,262.50",2,14.5,17.5,1.65,2.0,1.23,-,-,"1,000.00",865.40,07_31_2022
CBLD88,41.89,886.00,886.00,884.00,884.00,885.00,50.00,892.50,"44,250.00",2,-8.5,2.0,-0.95,0.23,-0.11,-,-,"1,000.00",865.40,08_01_2022
CBLD88,49.31,870.00,881.00,870.00,881.00,872.70,150.00,884.00,"130,905.00",6,-3.0,11.0,-0.34,1.26,0.94,-,-,"1,000.00",865.40,08_02_2022
CBLD88,51.27,885.00,885.00,885.00,885.00,885.00,50.00,881.00,"44,250.00",2,4.0,0.0,0.45,0.0,0.0,-,-,"1,000.00",865.40,08_03_2022
CBLD88,48.55,885.00,885.00,884.10,884.10,884.55,20.00,885.00,"17,691.00",2,-0.9,0.9,-0.1,0.1,-0.05,-,-,"1,000.00",865.40,08_04_2022
CBLD88,38.23,880.00,880.00,876.10,876.10,878.23,55.00,884.10,"48,302.50",2,-8.0,3.9,-0.9,0.45,-0.24,-,-,"1,000.00",865.40,08_07_2022
CBLD88,45.1,877.10,890.00,877.10,890.00,883.55,50.00,876.10,"44,177.50",2,13.9,12.9,1.59,1.47,0.72,-,-,"1,000.00",865.40,08_09_2022
CBLD88,45.74,880.00,880.00,880.00,880.00,880.00,25.00,890.00,"22,000.00",2,-10.0,0.00,-1.12,0.0,0.0,-,-,"1,000.00",865.40,08_10_2022
