High,Low,Close,Date
699,686,688.3,12/7/2022
699,686,688.3,12/9/2022
685,670.1,670.1,12/11/2022
679.9,660,679,12/12/2022
688,674,676.3,12/13/2022
717,672,675.1,12/14/2022
678.9,670.1,672,12/15/2022
670,661.1,665,12/18/2022
670,661.3,665.2,12/19/2022
680,666,673,12/20/2022
682,660,667.3,12/21/2022
666,654,665.2,12/22/2022
695,670.2,694,12/26/2022
710,696,700.1,12/27/2022
706,689,689,12/28/2022
726,689,722.2,12/29/2022
750,723,738,1/1/2023
772.8,725,765,1/2/2023
775,755,767.9,1/3/2023
797,760,784,1/4/2023
805,778,790,1/5/2023
803,784,790.1,1/8/2023
821,781,804,1/9/2023
835,796,805,1/10/2023
828,801.1,803,1/12/2023
820,796.1,816.3,1/17/2023
825,804,811,1/18/2023
850,804.1,845,1/19/2023
861.9,831,835,1/23/2023
850,825.1,832,1/24/2023
844.9,823,825,1/25/2023
833.5,818,824,1/26/2023
833.6,820,826,1/29/2023
830,810.5,811.9,1/30/2023
820,803.6,808.5,1/31/2023
823,802,815.1,2/1/2023
825,802,810.4,2/2/2023
825,811,817,2/5/2023
839.5,815.1,835,2/7/2023
841.8,830,840,2/9/2023
835,817,820.9,2/12/2023
821,810.2,815.5,2/14/2023
818,810,811.5,2/16/2023
819.9,798,815,2/20/2023
821,808,818,2/22/2023
815,803.4,814,2/23/2023
815,793.8,810,2/26/2023
815.5,801,811.5,2/28/2023
815,804.1,806,3/1/2023
806,798.1,800,3/2/2023
813,792.2,794,3/5/2023
801,788,796,3/7/2023
810,791,808,3/9/2023
822,797,798,3/12/2023
790,757,764,3/14/2023
772,739,748,3/15/2023
755,736.1,750,3/16/2023
755,739,742,3/19/2023
749,731.1,738,3/20/2023
740.1,721,723,3/22/2023
729,666.5,686,3/23/2023
708,688,689,3/28/2023
694,687,689,3/29/2023
700,689,690.8,3/30/2023
719.1,689,692,4/2/2023
704.9,686,690,4/3/2023
700,685,696.6,4/4/2023
700,691,696.2,4/5/2023
705,693,697,4/6/2023
698,690,693,4/9/2023
695.9,688,693,4/10/2023
704,692.3,697.5,4/11/2023
735,704,730,4/12/2023
740,719,722,4/13/2023
766,721,733,4/16/2023
739,722.1,735,4/18/2023
742,731,740.7,4/19/2023
755.5,729,734,4/20/2023
736,722.2,723,4/23/2023
724,717,717,4/24/2023
735,718,735,4/25/2023
736,724,724,4/26/2023
726.5,720,725,4/27/2023
736.6,717.1,720,4/30/2023
729,714,714,5/2/2023
715,710.1,712.6,5/3/2023
723,707,717,5/4/2023
723,709.2,714.9,5/7/2023
720,700.1,711.9,5/9/2023
719,709,709,5/10/2023
711.9,707,709,5/11/2023
717,699,699,5/14/2023
706,693.1,694.6,5/15/2023
704,689.3,690,5/16/2023
709.5,698.1,708.5,5/18/2023
715,705,708,5/21/2023
709.9,700,705.9,5/22/2023
724,710,721,5/23/2023
759,717.1,733.5,5/24/2023
