SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,43.65,685.00,685.00,652.00,663.50,660.20,"1,023.00",672.00,"675,382.70",32,-8.50,33.00,-1.26,5.06,0.50,757.36,790.97,"1,407.00",600.00
2,ADBL,Agricultural Development Bank Limited,34.43,289.40,289.40,281.00,282.00,282.05,"18,727.00",285.00,"5,281,953.10",165,-3.00,8.40,-1.05,2.99,-0.02,314.47,318.10,411.00,280.00
3,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,37.16,"1,542.70","1,663.70","1,542.70","1,663.70","1,652.03","3,744.00","1,512.50","6,185,215.30",124,151.20,121.00,10.00,7.84,0.70,0.00,0.00,"2,705.00",256.80
4,AHPC,Arun Valley Hydropower Development Company Limited,41.10,311.00,311.00,297.50,302.00,301.63,"50,469.00",306.00,"15,222,753.20",160,-4.00,13.50,-1.31,4.54,0.12,300.96,322.94,534.40,250.00
5,AIL,Ajod Insurance Limited,33.99,462.20,469.00,462.20,463.00,464.37,"2,660.00",471.00,"1,235,234.00",44,-8.00,6.80,-1.70,1.47,-0.30,498.22,568.51,768.90,344.00
6,AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,49.55,"1,060.00","1,060.00",989.00,"1,000.00","1,011.15","3,008.00","1,045.00","3,041,529.00",93,-45.00,71.00,-4.31,7.18,-1.11,845.13,0.00,"1,907.00",391.50
7,AKJCL,Ankhukhola Hydropower Company Limited,32.98,233.20,233.20,225.10,225.10,226.92,"18,080.00",229.70,"4,102,745.90",129,-4.60,8.10,-2.00,3.60,-0.81,199.01,202.00,314.00,159.80
8,AKPL,Arun Kabeli Power Limited,37.22,404.90,404.90,395.00,397.00,396.57,"32,350.00",399.00,"12,829,036.00",152,-2.00,9.90,-0.50,2.51,0.11,395.00,414.31,530.00,325.00
9,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,40.19,858.00,875.00,846.00,859.00,857.80,"1,512.00",875.00,"1,296,989.40",46,-16.00,29.00,-1.83,3.43,0.14,"1,003.39","1,083.50","1,468.20",822.00
10,ALICL,Asian Life Insurance Company Limited,35.30,645.00,649.00,640.00,642.20,643.47,"13,527.00",649.90,"8,704,196.90",76,-7.70,9.00,-1.18,1.41,-0.20,561.66,568.80,"1,007.70",428.00
