SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,35.15,691.00,710.00,691.00,709.00,702.94,225.00,701.00,"158,162.00",15,8.00,19.00,1.14,2.75,0.85,792.05,857.19,"1,566.00",688.20
2,ADBL,Agricultural Development Bank Limited,30.68,307.00,313.00,307.00,310.00,310.17,"9,970.00",307.50,"3,092,390.10",141,2.50,6.00,0.81,1.95,-0.05,319.99,334.88,510.00,298.00
3,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,45.08,365.70,380.40,365.70,380.40,373.03,30.00,358.60,"11,191.00",3,21.80,14.70,6.08,4.02,1.94,-,-,380.40,256.80
4,AHPC,Arun Valley Hydropower Development Company Limited,31.16,270.00,274.00,264.10,273.00,268.54,"24,896.00",269.00,"6,685,618.60",117,4.00,9.90,1.49,3.75,1.63,323.59,355.94,628.30,251.40
5,AIL,Ajod Insurance Limited,31.96,395.00,398.00,385.00,387.30,388.14,"3,161.00",395.00,"1,226,904.80",60,-7.70,13.00,-1.95,3.38,-0.22,590.78,630.90,806.00,385.00
6,AKJCL,Ankhukhola Hydropower Company Limited,29.05,169.90,172.30,167.10,172.00,170.06,"14,343.00",169.90,"2,439,138.60",89,2.10,5.20,1.24,3.11,1.13,194.43,210.57,350.00,161.00
7,AKPL,Arun Kabeli Power Limited,33.17,342.20,351.00,340.30,351.00,343.52,"28,871.00",342.20,"9,917,848.20",180,8.80,10.70,2.57,3.14,2.13,420.14,429.28,624.00,340.00
8,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,31.86,885.20,918.00,885.00,918.00,900.23,938.00,895.00,"844,415.10",22,23.00,33.00,2.57,3.73,1.94,"1,106.57","1,177.47","1,750.00",874.30
9,ALBSLP,Asha Laghubitta Bittiya Sanstha Limited Promoter Share,34.16,685.00,685.00,685.00,685.00,395.67,"150,000.00",685.00,"59,350,000.00",9,0.00,0.00,0.00,0.00,42.24,-,-,769.00,685.00
10,ALICL,Asian Life Insurance Company Limited,35.10,510.00,510.00,500.10,510.00,504.99,"10,221.00",501.10,"5,161,476.10",97,8.90,9.90,1.78,1.98,0.98,539.05,600.42,"1,374.00",428.00
11,API,Api Power Company Limited,33.64,206.10,210.20,203.50,210.00,207.37,"52,494.00",205.10,"10,885,431.90",260,4.90,6.70,2.39,3.29,1.25,238.38,264.80,575.00,200.00
