SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,38.36,590.00,600.00,580.00,580.00,588.79,846.00,598.00,"498,118.70",36,-18.00,20.00,-3.01,3.45,-1.52,727.25,769.69,"1,340.00",547.50
2,ADBL,Agricultural Development Bank Limited,32.66,245.00,249.80,244.00,246.00,245.58,"10,613.00",247.30,"2,606,354.20",128,-1.30,5.80,-0.53,2.38,0.17,306.76,312.93,389.60,242.00
3,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,31.44,"1,245.00","1,269.90","1,236.00","1,236.00","1,246.77",229.00,"1,270.00","285,510.00",17,-34.00,33.90,-2.68,2.74,-0.87,0.00,0.00,"2,705.00",256.80
4,AHL,Asian Hydropower Limited,47.71,445.90,480.90,445.00,448.00,454.67,"52,292.00",437.20,"23,775,403.10","3,638",10.80,35.90,2.47,8.07,-1.49,0.00,0.00,480.90,298.80
5,AHPC,Arun Valley Hydropower Development Company Limited,39.79,299.60,303.00,299.00,300.40,300.65,"17,482.00",303.00,"5,255,898.50",90,-2.60,4.00,-0.86,1.34,-0.08,294.13,315.85,490.00,250.00
6,AIL,Ajod Insurance Limited,40.49,467.50,490.00,462.10,472.00,476.48,"3,420.00",477.00,"1,629,551.50",55,-5.00,27.90,-1.05,6.04,-0.95,474.20,540.48,730.00,344.00
7,AKJCL,Ankhukhola Hydropower Company Limited,40.29,231.20,231.20,223.10,226.00,225.18,"14,142.00",227.70,"3,184,454.70",72,-1.70,8.10,-0.75,3.63,0.36,201.13,204.18,293.00,159.80
8,AKPL,Arun Kabeli Power Limited,27.96,405.00,407.00,403.00,404.00,404.61,"16,323.00",405.00,"6,604,462.00",129,-1.00,4.00,-0.25,0.99,-0.15,387.87,412.07,519.00,325.00
9,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,36.43,696.00,709.90,696.00,709.00,698.07,195.00,710.00,"136,123.00",10,-1.00,13.90,-0.14,2.00,1.54,940.89,"1,036.70","1,450.00",677.30
10,ALICL,Asian Life Insurance Company Limited,37.37,620.00,620.00,608.00,618.00,612.97,"7,176.00",622.00,"4,398,670.60",81,-4.00,12.00,-0.64,1.97,0.81,568.93,577.17,910.00,428.00
11,API,Api Power Company Limited,41.85,267.70,267.70,256.00,260.10,260.36,"43,359.00",262.50,"11,288,783.90",324,-2.40,11.70,-0.91,4.57,-0.10,239.79,246.21,374.90,200.00
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,32.17,604.00,625.00,604.00,611.00,613.44,732.00,615.00,"449,040.00",57,-4.00,21.00,-0.65,3.48,-0.40,0.00,0.00,963.00,316.00
13,BARUN,Barun Hydropower Company Limited,39.55,267.00,270.00,266.00,266.00,267.52,"3,624.00",269.00,"969,492.40",40,-3.00,4.00,-1.12,1.50,-0.57,236.85,269.10,541.60,190.30
14,BBC,Bishal Bazar Company Limited,23.87,"3,230.00","3,230.00","3,215.00","3,215.00","3,221.43",70.00,"3,265.00","225,500.00",3,-50.00,15.00,-1.53,0.47,-0.20,"3,317.53","3,426.69","4,406.00","3,083.00"
15,BFC,Best Finance Company Limited,37.13,325.00,326.00,323.00,323.10,324.56,"2,810.00",326.00,"912,009.00",22,-2.90,3.00,-0.89,0.93,-0.45,332.84,351.39,475.00,292.50
16,BHDC,Bindhyabasini Hydropower Development Company Limited,32.82,428.00,434.90,421.00,434.90,431.83,"4,879.00",436.00,"2,106,876.50",97,-1.10,13.90,-0.25,3.30,0.71,382.24,0.00,520.00,310.00
17,BHL,Balephi Hydropower Limited,43.10,327.20,333.50,322.10,333.00,330.78,"5,542.00",333.80,"1,833,165.10",88,-0.80,11.40,-0.24,3.54,0.67,290.62,291.00,397.00,104.70
18,BHPL,Barahi Hydropower Public Limited,32.89,500.00,510.00,490.10,496.00,496.61,"2,171.00",504.00,"1,078,149.00",113,-8.00,19.90,-1.59,4.06,-0.12,0.00,0.00,677.20,194.30
19,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,39.19,415.00,425.00,412.00,425.00,415.44,561.00,423.00,"233,063.00",19,2.00,13.00,0.47,3.16,2.25,389.51,393.03,640.00,306.00
20,BNT,Bottlers Nepal (Terai) Limited,35.14,"12,100.00","12,342.00","12,100.00","12,342.00","12,160.50",40.00,"12,244.20","486,420.00",2,97.80,242.00,0.80,2.00,1.47,"12,805.29","12,935.32","15,371.30","11,396.00"
21,BPCL,Butwal Power Company Limited,28.28,325.50,325.50,314.00,319.50,317.28,"7,733.00",319.20,"2,453,558.20",90,0.30,11.50,0.09,3.66,0.69,313.31,318.01,413.00,288.00
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,39.55,795.00,795.00,765.00,788.00,773.13,"11,542.00",780.00,"8,923,522.10",224,8.00,30.00,1.03,3.92,1.89,"1,064.78","1,059.68","1,303.00",727.00
23,CBLD88,10.25% Civil Bank Debenture 2088,39.38,840.00,840.00,840.00,840.00,840.00,25.00,835.00,"21,000.00",1,5.00,0.00,0.60,0.00,0.00,0.00,0.00,"1,000.00",813.00
24,CCBD88,10.50% Century Debenture 2088,41.92,835.80,835.80,835.70,835.70,835.75,50.00,833.10,"41,787.70",2,2.60,0.10,0.31,0.01,-0.01,0.00,0.00,"1,000.00",816.00
25,CFCL,Central Finance Limited,35.88,312.00,314.00,307.90,313.00,311.24,"2,457.00",312.00,"764,721.60",36,1.00,6.10,0.32,1.98,0.56,321.59,323.93,422.00,237.00
26,CGH,Chandragiri Hills Limited,41.02,"1,126.00","1,148.50","1,126.00","1,140.00","1,143.92","1,420.00","1,145.00","1,624,364.00",35,-5.00,22.50,-0.44,2.00,-0.34,"1,105.78","1,091.24","1,487.00",900.20
27,CHCL,Chilime Hydro power Company Limited,37.84,479.00,481.80,472.10,479.90,479.40,"20,928.00",477.40,"10,032,979.70",160,2.50,9.70,0.52,2.05,0.10,410.02,408.07,504.10,347.90
28,CHDC,CEDB Hydropower Development Company Limited,39.77,712.50,730.00,712.50,722.00,722.45,940.00,725.00,"679,104.00",45,-3.00,17.50,-0.41,2.46,-0.06,688.52,709.28,869.00,590.00
