SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
71,HIDCLP,Hydroelectricity Investment and Development Company Limited Promoter Share,28.41,99.90,100.40,99.00,100.40,99.45,"18,810.00",99.90,"1,870,613.40",30,0.50,1.40,0.50,1.41,0.95,101.61,0.00,126.40,95.00
72,HPPL,Himalayan Power Partner Limited,27.21,298.00,298.00,284.40,285.10,290.24,"5,316.00",295.00,"1,542,892.30",37,-9.90,13.60,-3.36,4.78,-1.80,291.20,312.18,447.00,217.60
73,HURJA,Himalaya Urja Bikas Company Limited,34.65,315.00,315.00,303.00,307.00,303.97,"7,887.00",313.00,"2,397,383.50",52,-6.00,12.00,-1.92,3.96,0.99,289.43,276.33,443.40,190.50
74,ICFC,ICFC Finance Limited,27.28,409.50,425.30,409.50,412.00,414.21,"6,126.00",417.00,"2,537,437.10",70,-5.00,15.80,-1.20,3.86,-0.54,442.53,460.70,585.00,363.00
75,IGI,IME General Insurance Limited,25.16,390.40,394.00,386.00,386.70,389.31,"12,056.00",390.10,"4,693,499.90",103,-3.40,8.00,-0.87,2.07,-0.67,403.11,403.26,570.00,333.20
76,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,25.01,630.00,639.00,614.30,639.00,622.06,290.00,639.50,"180,397.00",18,-0.50,24.70,-0.08,4.02,2.65,842.83,890.45,"1,162.80",590.00
77,JALPA,Jalpa  Samudayik Laghubitta Bittiya Sanstha Limited,37.23,"1,791.00","1,791.00","1,750.00","1,757.50","1,760.78","1,360.00","1,825.00","2,394,654.40",60,-67.50,41.00,-3.70,2.34,-0.19,"2,954.73","2,940.64","3,770.00",552.90
78,JBBL,Jyoti Bikash Bank Limited,30.02,265.10,270.50,259.10,266.00,265.11,"20,032.00",268.90,"5,310,745.60",105,-2.90,11.40,-1.08,4.40,0.33,284.28,290.40,390.00,248.00
79,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,32.92,"1,470.00","1,470.00","1,446.10","1,450.00","1,455.88","1,235.00","1,470.20","1,798,008.60",78,-20.20,23.90,-1.37,1.65,-0.41,"2,417.28","2,511.97","3,130.00","1,377.00"
80,JFL,Janaki Finance Company Limited,26.31,376.30,376.30,361.70,369.20,364.17,"2,703.00",369.00,"984,359.90",25,0.20,14.60,0.05,4.04,1.36,385.35,392.98,527.00,305.00
81,JOSHI,Joshi Hydropower Development Company Limited,40.72,269.00,289.30,266.50,289.30,271.03,"14,216.00",272.80,"3,853,022.60",79,16.50,22.80,6.05,8.56,6.31,230.88,225.94,318.00,164.80
82,JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,36.77,900.00,918.00,899.70,900.00,910.53,396.00,900.00,"360,571.00",14,0.00,18.30,0.00,2.03,-1.17,"1,450.72","1,565.42","2,285.00",833.10
83,KBL,Kumari Bank Limited,28.62,171.00,172.00,169.30,170.00,170.34,"54,894.00",170.00,"9,350,567.20",239,0.00,2.70,0.00,1.59,-0.20,188.60,193.38,228.00,166.00
84,KBLPO,Kumari Bank Limited Promotor Share,34.79,110.00,110.00,110.00,110.00,110.00,"15,000.00",110.00,"1,650,000.00",1,0.00,0.00,0.00,0.00,0.00,123.82,0.00,130.00,100.00
85,KDBY,Kumari Dhanabriddhi Yojana,30.47,8.00,8.26,7.94,8.26,8.02,"3,210.00",8.07,"25,729.70",29,0.19,0.32,2.35,4.03,2.96,8.22,0.00,10.43,7.46
86,KDL,Kalinchowk Darshan Limited,38.04,619.10,667.70,619.10,667.70,665.96,926.00,607.00,"616,677.70",97,60.70,48.60,10.00,7.85,0.26,0.00,0.00,667.70,134.40
87,KEF,Kumari Equity Fund,29.15,7.93,8.06,7.92,7.96,7.97,"4,100.00",8.06,"32,665.00",11,-0.10,0.14,-1.24,1.77,-0.09,8.23,8.38,10.07,7.62
88,KKHC,Khani Khola Hydropower Company Limited,26.73,235.00,236.50,232.00,235.00,234.49,"2,380.00",235.00,"558,079.00",23,0.00,4.50,0.00,1.94,0.22,217.18,216.67,288.00,163.80
89,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,49.00,970.00,970.00,886.00,921.00,914.56,410.00,970.00,"374,970.00",22,-49.00,84.00,-5.05,9.48,0.70,0.00,0.00,"1,870.00",303.20
90,KLBSL,Kisan Laghubitta Bittiya Sanstha Limited(Former NRN Laghubitta Bittiya Sanstha Limited),29.65,594.00,605.00,594.00,605.00,599.50,20.00,606.00,"11,990.00",2,-1.00,11.00,-0.17,1.85,0.91,774.40,820.82,"1,454.80",592.00
91,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,32.72,585.00,589.50,578.00,579.00,581.95,458.00,585.00,"266,532.00",19,-6.00,11.50,-1.03,1.99,-0.51,874.84,940.30,"1,318.00",570.00
92,KPCL,Kalika Power Company Limited,28.85,371.30,378.00,371.30,374.00,373.95,"2,225.00",378.40,"832,039.60",16,-4.40,6.70,-1.16,1.80,0.01,352.89,363.14,466.00,289.00
93,KRBL,Karnali Development Bank Limited,27.02,253.10,257.30,252.90,257.00,255.18,"2,515.00",258.00,"641,777.00",23,-1.00,4.40,-0.39,1.74,0.71,263.95,257.99,347.00,198.90
94,KSBBL,Kamana Sewa Bikas Bank Limited,26.80,302.00,307.90,300.00,301.00,301.63,"7,511.00",304.00,"2,265,514.90",75,-3.00,7.90,-0.99,2.63,-0.21,316.85,328.57,464.00,289.00
95,LBBL,Lumbini Bikas Bank Limited,28.50,317.10,322.00,316.30,318.00,318.66,"7,144.00",321.90,"2,276,531.90",66,-3.90,5.70,-1.21,1.80,-0.21,342.80,355.83,456.00,290.10
96,LBL,Laxmi Bank Limited,27.35,187.00,187.00,181.10,184.00,182.79,"10,971.00",184.50,"2,005,404.60",65,-0.50,5.90,-0.27,3.26,0.66,194.92,196.42,256.20,174.10
97,LEC,Liberty Energy Company Limited,28.84,266.00,273.80,263.70,272.90,269.64,"3,817.00",271.00,"1,029,230.00",85,1.90,10.10,0.70,3.83,1.19,252.15,254.34,339.00,203.00
98,LEMF,Laxmi Equity Fund,43.60,8.22,8.22,8.20,8.20,8.21,"20,000.00",8.25,"164,270.00",3,-0.05,0.02,-0.61,0.24,-0.16,8.26,8.65,10.89,7.24
