SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,35.48,575.00,586.50,571.00,580.00,578.28,288.00,575.00,"166,545.50",16,5.00,15.50,0.87,2.71,0.30,723.98,767.10,"1,120.00",547.50
2,ADBL,Agricultural Development Bank Limited,33.33,249.30,249.30,241.00,242.00,243.88,"14,559.00",244.50,"3,550,577.20",172,-2.50,8.30,-1.02,3.44,-0.77,305.49,312.14,389.00,241.00
3,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,29.41,"1,161.00","1,170.00","1,119.10","1,119.10","1,148.80",420.00,"1,161.00","482,496.00",20,-41.90,50.90,-3.61,4.55,-2.65,0.00,0.00,"2,705.00",256.80
4,AHL,Asian Hydropower Limited,34.36,435.00,440.00,404.00,419.10,422.06,"19,656.00",437.60,"8,296,047.00","1,269",-18.50,36.00,-4.23,8.91,-0.71,0.00,0.00,480.90,298.80
5,AHPC,Arun Valley Hydropower Development Company Limited,29.72,303.80,304.00,291.00,295.00,296.01,"51,129.00",298.90,"15,134,494.20",215,-3.90,13.00,-1.30,4.47,-0.34,293.65,315.25,471.00,250.00
6,AIL,Ajod Insurance Limited,25.67,466.00,466.00,445.60,448.00,451.65,"10,178.00",466.00,"4,596,887.20",168,-18.00,20.40,-3.86,4.58,-0.81,471.50,537.34,718.00,344.00
7,AKJCL,Ankhukhola Hydropower Company Limited,27.66,225.60,226.90,217.60,219.00,221.46,"40,048.00",222.50,"8,868,964.50",173,-3.50,9.30,-1.57,4.27,-1.12,201.47,204.50,285.00,159.80
8,AKPL,Arun Kabeli Power Limited,25.53,408.00,412.90,395.00,397.90,401.35,"44,517.00",405.00,"17,867,005.10",250,-7.10,17.90,-1.75,4.53,-0.87,387.33,411.85,519.00,325.00
9,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,34.35,705.00,705.00,686.10,687.00,690.43,597.00,710.00,"412,185.00",13,-23.00,18.90,-3.24,2.75,-0.50,933.92,"1,030.73","1,450.00",677.30
10,ALICL,Asian Life Insurance Company Limited,28.82,616.00,628.00,596.00,600.00,603.40,"11,768.00",604.00,"7,100,869.90",93,-4.00,32.00,-0.66,5.37,-0.57,569.76,577.82,871.10,428.00
11,API,Api Power Company Limited,24.71,261.10,264.50,254.00,254.90,256.25,"68,598.00",257.00,"17,578,453.50",411,-2.10,10.50,-0.82,4.13,-0.53,240.12,246.33,357.90,200.00
12,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,30.64,612.00,634.00,597.90,597.90,604.01,"1,520.00",600.00,"918,093.00",76,-2.10,36.10,-0.35,6.04,-1.02,0.00,0.00,963.00,316.00
13,BARUN,Barun Hydropower Company Limited,24.94,268.20,268.30,258.00,261.40,261.02,"14,428.00",263.00,"3,765,947.80",88,-1.60,10.30,-0.61,3.99,0.15,237.11,267.06,541.60,190.30
14,BBC,Bishal Bazar Company Limited,23.70,"3,050.00","3,230.00","3,050.00","3,122.00","3,158.44",90.00,"3,098.00","284,260.00",9,24.00,180.00,0.77,5.90,-1.17,"3,310.86","3,424.53","4,382.00","3,050.00"
15,BFC,Best Finance Company Limited,26.73,323.30,324.30,318.00,318.20,319.53,"5,743.00",318.00,"1,835,036.10",47,0.20,6.30,0.06,1.98,-0.42,332.12,351.18,475.00,292.50
16,BHDC,Bindhyabasini Hydropower Development Company Limited,24.74,427.00,430.00,419.00,421.50,422.99,"5,593.00",427.00,"2,365,785.60",129,-5.50,11.00,-1.29,2.63,-0.35,382.15,0.00,520.00,310.00
17,BHL,Balephi Hydropower Limited,31.67,327.00,330.00,318.00,323.00,321.59,"6,470.00",327.00,"2,080,704.00",125,-4.00,12.00,-1.22,3.77,0.44,291.00,292.08,397.00,104.70
18,BHPL,Barahi Hydropower Public Limited,36.27,500.00,530.00,495.20,495.20,500.06,"7,517.00",500.00,"3,758,986.00",90,-4.80,34.80,-0.96,7.03,-0.98,0.00,0.00,677.20,194.30
19,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,33.56,415.00,415.00,405.50,412.00,411.77,"1,945.00",413.00,"800,900.30",33,-1.00,9.50,-0.24,2.34,0.05,390.08,393.69,633.00,306.00
20,BNT,Bottlers Nepal (Terai) Limited,37.15,"12,699.00","12,699.00","12,197.00","12,350.00","12,296.40",120.00,"12,480.00","1,475,568.00",8,-130.00,502.00,-1.04,4.12,0.43,"12,792.33","12,934.38","15,371.30","11,396.00"
21,BPCL,Butwal Power Company Limited,28.44,323.90,323.90,314.00,315.00,317.14,"6,044.00",317.60,"1,916,766.20",83,-2.60,9.90,-0.82,3.15,-0.68,313.47,317.99,400.00,288.00
22,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,36.78,800.00,804.00,775.00,784.00,789.05,"6,981.00",785.00,"5,508,340.50",166,-1.00,29.00,-0.13,3.74,-0.64,"1,060.80","1,057.86","1,303.00",727.00
23,CBLD88,10.25% Civil Bank Debenture 2088,33.48,825.30,828.10,824.30,828.10,827.66,"1,000.00",841.10,"827,659.40",7,-13.00,3.80,-1.55,0.46,0.05,0.00,0.00,"1,000.00",813.00
24,CFCL,Central Finance Limited,29.40,310.00,316.20,302.00,302.20,307.08,"8,298.00",310.00,"2,548,135.50",83,-7.80,14.20,-2.52,4.70,-1.61,321.15,324.57,410.00,237.00
25,CGH,Chandragiri Hills Limited,33.04,"1,136.00","1,146.00","1,122.40","1,123.00","1,128.77",715.00,"1,140.00","807,068.50",28,-17.00,23.60,-1.49,2.10,-0.51,"1,107.91","1,093.03","1,487.00",900.20
26,CHCL,Chilime Hydro power Company Limited,24.85,483.00,483.00,466.10,473.00,472.37,"22,885.00",480.00,"10,810,162.20",136,-7.00,16.90,-1.46,3.63,0.13,411.57,409.14,504.10,347.90
27,CHDC,CEDB Hydropower Development Company Limited,37.99,737.00,737.00,715.00,718.10,719.83,"5,072.00",723.10,"3,650,986.10",81,-5.00,22.00,-0.69,3.08,-0.24,689.22,709.53,869.00,590.00
28,CHL,Chhyangdi Hydropower Company Limited,24.54,323.00,323.00,304.00,304.00,310.55,"11,278.00",318.00,"3,502,331.50",82,-14.00,19.00,-4.40,6.25,-2.15,261.56,262.50,439.00,193.10
29,CIT,Citizen Investment Trust,40.26,"2,095.00","2,095.00","2,029.00","2,029.00","2,048.19","5,387.00","2,058.30","11,033,602.20",172,-29.30,66.00,-1.42,3.25,-0.95,"1,960.30","2,119.23","3,164.00","1,780.00"
30,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,34.20,605.00,605.00,576.30,585.00,588.34,"1,689.00",605.20,"993,703.90",26,-20.20,28.70,-3.34,4.98,-0.57,782.77,810.21,"1,018.00",576.30
31,CMF1,Citizens Mutual Fund-1,32.46,7.69,8.00,7.54,8.00,7.71,"3,700.00",7.54,"28,518.00",9,0.46,0.46,6.10,6.10,3.66,7.98,8.11,9.96,6.75
32,CMF2,Citizens Mutual Fund - 2,47.65,7.90,8.53,7.70,7.70,7.83,"23,155.00",8.00,"181,221.50",15,-0.30,0.83,-3.75,10.78,-1.64,8.12,8.44,10.76,7.03
33,CORBL,Corporate Development Bank Limited,37.19,301.00,301.00,290.10,292.10,292.88,"6,538.00",304.80,"1,914,868.80",33,-12.70,10.90,-4.17,3.76,-0.27,294.95,300.87,524.00,211.30
34,CZBIL,Citizens Bank International Limited,37.49,178.90,186.00,173.60,174.50,175.44,"37,800.00",178.90,"6,631,570.70",209,-4.40,12.40,-2.46,7.14,-0.54,188.16,193.13,269.70,173.60
35,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,36.87,700.00,700.00,676.00,677.00,681.79,"2,845.00",687.00,"1,939,681.50",61,-10.00,24.00,-1.46,3.55,-0.71,913.68,940.88,"1,178.00",630.00
36,DHPL,Dibyashwari Hydropower Company Limited,25.68,230.10,232.80,215.00,215.00,220.47,"5,688.00",225.90,"1,254,007.00",45,-10.90,17.80,-4.83,8.28,-2.54,203.30,206.49,300.00,160.10
37,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,39.06,765.00,766.50,749.00,749.00,753.91,674.00,768.70,"508,137.30",31,-19.70,17.50,-2.56,2.34,-0.66,0.00,0.00,"1,662.00",177.70
38,DORDI,Dordi Khola Hydropower Company Limited,34.33,313.00,313.00,301.00,301.20,303.75,"11,772.00",307.00,"3,575,719.60",188,-5.80,12.00,-1.89,3.99,-0.85,276.28,0.00,408.00,217.00
39,EBL,Everest Bank Limited,35.73,502.00,502.00,490.00,491.90,493.87,"20,715.00",495.00,"10,230,437.70",125,-3.10,12.00,-0.63,2.45,-0.40,499.76,493.00,558.90,411.00
