SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
1,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,37.95,580.00,585.00,575.00,585.00,579.28,"1,219.00",591.60,"706,138.90",55,-6.60,10.00,-1.12,1.74,0.98,739.86,778.16,"1,407.00",575.00
2,ADBL,Agricultural Development Bank Limited,27.07,264.50,264.50,258.00,258.20,259.51,"21,040.00",261.50,"5,460,177.10",238,-3.30,6.50,-1.26,2.52,-0.51,310.86,315.32,405.90,258.00
3,ADBLD83,10.35% ADBL Krisi Bank Rinpatra 2083,50.36,916.00,916.00,910.00,910.00,910.29,"1,050.00",899.00,"955,800.00",2,11.00,6.00,1.22,0.66,-0.03,987.46,"1,015.40","1,066.00",865.10
4,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,33.94,"1,337.10","1,367.00","1,315.00","1,340.00","1,341.08",246.00,"1,364.00","329,906.90",17,-24.00,52.00,-1.76,3.95,-0.08,0.00,0.00,"2,705.00",256.80
5,AHPC,Arun Valley Hydropower Development Company Limited,23.65,300.00,304.00,297.00,299.00,299.48,"23,300.00",300.00,"6,977,892.00",120,-1.00,7.00,-0.33,2.36,-0.16,296.19,317.80,525.00,250.00
6,AIL,Ajod Insurance Limited,34.02,447.10,460.00,447.10,453.00,453.17,"2,013.00",454.00,"912,229.00",59,-1.00,12.90,-0.22,2.89,-0.04,482.75,552.08,768.90,344.00
7,AKJCL,Ankhukhola Hydropower Company Limited,39.24,228.00,229.30,225.40,227.00,227.40,"17,674.00",225.00,"4,018,999.50",112,2.00,3.90,0.89,1.73,-0.17,199.81,202.64,310.00,159.80
8,AKPL,Arun Kabeli Power Limited,29.98,405.00,408.00,404.00,407.00,405.36,"32,169.00",405.00,"13,039,896.40",174,2.00,4.00,0.49,0.99,0.40,390.16,412.08,530.00,325.00
9,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,33.27,699.00,712.00,699.00,707.00,704.70,303.00,710.00,"213,523.00",18,-3.00,13.00,-0.42,1.86,0.33,967.67,"1,056.64","1,467.00",699.00
10,ALICL,Asian Life Insurance Company Limited,33.42,617.10,625.00,615.10,617.10,619.42,"8,877.00",614.10,"5,498,583.00",84,3.00,9.90,0.49,1.61,-0.38,565.25,573.05,"1,007.70",428.00
